Python Pitfalls

Q1. In what country do you live?
Answer Choices,Response Percent,Responses
Estado Plurinacional da Bolívia,0.0%,0
Bósnia e Herzegovina,0.0%,0
Botsuana,0.0%,0
Brasil,20.0%,1
British Virgin Island,0.0%,0
Brunei Darussalam,0.0%,0
Bulgária,0.0%,0
Burquina Faso,0.0%,0
Burundi,0.0%,0
Cabo Verde,0.0%,0
Camboja,0.0%,0
Camarões,0.0%,0
Canadá,20.0%,1
Ilhas Cayman,0.0%,0
República Centro-Africana,0.0%,0
Chade,0.0%,0
Chile,0.0%,0
China,0.0%,0
Colômbia,0.0%,0
Comores,0.0%,0
Congo,0.0%,0
Costa Rica,0.0%,0
Costa do Marfim,0.0%,0
Croácia,0.0%,0
Cuba,0.0%,0
Chipre,0.0%,0
República Tcheca,0.0%,0
República Popular Democrática da Coreia,0.0%,0
República Democrática do Congo,0.0%,0
Dinamarca,0.0%,0
Djibuti,0.0%,0
Dominica,0.0%,0
República Dominicana,0.0%,0
Equador,0.0%,0
Egito,0.0%,0
El Salvador,0.0%,0
Guiné Equatorial,0.0%,0
Eritreia,0.0%,0
Estônia,0.0%,0
Etiópia,0.0%,0
Fiji,0.0%,0
Finlândia,0.0%,0
França,0.0%,0
Gabão,0.0%,0
Gâmbia,0.0%,0
Geórgia,0.0%,0
Alemanha,0.0%,0
Gana,0.0%,0
Grécia,0.0%,0
Granada,0.0%,0
Guatemala,0.0%,0
Guiné,0.0%,0
Guiné-Bissau,0.0%,0
Guiana,0.0%,0
Haiti,0.0%,0
Santa Sé,0.0%,0
Honduras,0.0%,0
Hungria,0.0%,0
Islândia,0.0%,0
Índia,0.0%,0
Indonésia,0.0%,0
República Islâmica do Irã,0.0%,0
Iraque,0.0%,0
Irlanda,0.0%,0
Israel,0.0%,0
Itália,0.0%,0
Jamaica,0.0%,0
Japão,0.0%,0
Jordânia,0.0%,0
Cazaquistão,0.0%,0
Quênia,0.0%,0
Quiribati,0.0%,0
Kuwait,0.0%,0
Quirguistão,0.0%,0
República Democrática Popular do Laos,0.0%,0
Letônia,0.0%,0
Líbano,0.0%,0
Lesoto,0.0%,0
Libéria,0.0%,0
Líbia,0.0%,0
Liechtenstein,0.0%,0
Lituânia,0.0%,0
Luxemburgo,0.0%,0
Madagascar,0.0%,0
Malaui,0.0%,0
Malásia,0.0%,0
Maldivas,0.0%,0
Mali,0.0%,0
Malta,0.0%,0
Ilhas Marshall,0.0%,0
Mauritânia,0.0%,0
Maurício,0.0%,0
México,0.0%,0
Estados Federados da Micronésia,0.0%,0
Mônaco,0.0%,0
Mongólia,0.0%,0
Montenegro,0.0%,0
Montserrat,0.0%,0
Marrocos,0.0%,0
Moçambique,0.0%,0
Myanmar,0.0%,0
Namíbia,0.0%,0
Nauru,0.0%,0
Nepal,0.0%,0
Países Baixos,20.0%,1
Nova Zelândia,0.0%,0
Nicarágua,0.0%,0
Níger,0.0%,0
Nigéria,0.0%,0
Noruega,0.0%,0
Omã,0.0%,0
Paquistão,0.0%,0
Palau,0.0%,0
Panamá,0.0%,0
Papua Nova Guiné,0.0%,0
Paraguai,0.0%,0
Peru,0.0%,0
Filipinas,0.0%,0
Polônia,0.0%,0
Portugal,0.0%,0
Catar,0.0%,0
República da Coreia,0.0%,0
República da Moldávia,0.0%,0
Romênia,0.0%,0
Federação Russa,0.0%,0
Ruanda,0.0%,0
São Cristóvão e Névis,0.0%,0
Santa Lúcia,0.0%,0
São Vicente e Granadinas,0.0%,0
Samoa,0.0%,0
San Marino,0.0%,0
São Tomé e Príncipe,0.0%,0
Arábia Saudita,0.0%,0
Senegal,0.0%,0
Sérvia,0.0%,0
Seychelles,0.0%,0
Serra Leoa,0.0%,0
Singapura,0.0%,0
Eslováquia,0.0%,0
Eslovênia,0.0%,0
Ilhas Salomão,0.0%,0
Somália,0.0%,0
África do Sul,0.0%,0
Sudão do Sul,0.0%,0
Espanha,0.0%,0
Sri Lanka,0.0%,0
Estado da Palestina,0.0%,0
Sudão,0.0%,0
Suriname,0.0%,0
Suazilândia,0.0%,0
Suécia,0.0%,0
Suíça,0.0%,0
República Árabe da Síria,0.0%,0
Tadjiquistão,0.0%,0
Tailândia,0.0%,0
Antiga República Iugoslava da Macedônia,0.0%,0
Timor-Leste,0.0%,0
Togo,0.0%,0
Tonga,0.0%,0
Trinidad e Tobago,0.0%,0
Tunísia,0.0%,0
Turquia,0.0%,0
Turcomenistão,0.0%,0
Turks and Caicos,0.0%,0
Tuvalu,0.0%,0
Uganda,0.0%,0
Ucrânia,0.0%,0
Emirados Árabes Unidos,0.0%,0
Reino Unido da Grã-Bretanha e Irlanda do Norte,0.0%,0
República Unida da Tanzânia,0.0%,0
Estados Unidos da América,40.0%,2
Uruguai,0.0%,0
Uzbequistão,0.0%,0
Vanuatu,0.0%,0
República Bolivariana da Venezuela,0.0%,0
Vietnã,0.0%,0
Iêmen,0.0%,0
Zâmbia,0.0%,0
Zimbábue,0.0%,0
,Answered,5
,Skipped,45


